#Hydration free energy datbase v0.52, 6/11/17.
#Semicolon-delimited text file with fields in the following format:
# compound id (and file prefix); SMILES; iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem); experimental value (kcal/mol); experimental uncertainty (kcal/mol); Mobley group calculated value (GAFF) (kcal/mol); calculated uncertainty (kcal/mol); experimental reference (original or paper this value was taken from); calculated reference; text notes.
mobley_1017962; CCCCCC(=O)OC; methyl hexanoate; -2.49; 0.60; -3.30; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2316618; c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO; 1-(2-hydroxyethylamino)-9,10-anthraquinone; -14.21; 1.10; -13.60; 0.05; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2328633; CCCCCC1CCCC1; pentylcyclopentane; 2.55; 0.60; 2.38; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2341732; CCCCC(=O)OC; methyl pentanoate; -2.56; 0.60; -3.49; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2354112; CCc1cccc(c1)O; 3-ethylphenol; -6.25; 0.60; -5.27; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2364370; CCCCOC(=O)C; butyl acetate; -2.64; 0.60; -3.41; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2371092; Cc1ccncc1C; 3,4-dimethylpyridine; -5.22; 0.60; -3.20; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2390199; CCCC(=O)CCC; heptan-4-one; -2.92; 0.60; -2.70; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2402487; CCOC(=O)CC(=O)OCC; diethyl propanedioate; -6.00; 0.60; -6.72; 0.03; 10.1139/v91-2; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2410897; CCN; ethanamine; -4.50; 0.60; -3.16; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2422586; CCCOC; 1-methoxypropane; -1.66; 0.60; -0.60; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_242480; c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N; 1,4-diamino-9,10-anthracenedione; -11.85; 0.35; -15.25; 0.04; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2451097; c1ccc(cc1)C#N; benzonitrile; -4.10; 0.60; -3.24; 0.03; 10.1039/P29940001777; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2457863; COc1cccc(c1)O; 3-methoxyphenol; -7.66; 0.60; -6.97; 0.04; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2481002; C([N+](=O)[O-])(Cl)(Cl)Cl; trichloro(nitro)methane; -1.45; 0.10; -0.38; 0.02; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from chloropicrin to trichloro(nitro)methane for better handling/standardization.  
mobley_2484519; c1ccc(cc1)CCl; benzyl chloride; -1.93; 0.20; -1.74; 0.03; 10.1021/jm070549+; 10.1021/acs.jced.7b00104; Topology and coordinate files re-generated 10/9/13 from original .mol2 files.  Experimental uncertainty not presently available, so assigned a default value.  Experimental uncertainty estimate updated to 0.2 as of v0.2 to match uncertainty estimate given in Nicholls et al. paper.  
mobley_2487143; CCCCC(=O)C; hexan-2-one; -3.28; 0.60; -3.01; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2489709; c1ccc(c(c1)Cl)Cl; 1,2-dichlorobenzene; -1.36; 0.60; -0.55; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2492140; C(C(Cl)(Cl)Cl)(Cl)Cl; 1,1,1,2,2-pentachloroethane; -1.23; 0.10; 0.06; 0.03; 10.1007/s10822-012-9568-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2493732; C=C(Cl)Cl; 1,1-dichloroethylene; 0.25; 0.60; 1.11; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2501588; CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]; profluralin; -2.45; 1.37; -1.96; 0.04; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2517158; CCCCCCCBr; 1-bromoheptane; 0.34; 0.60; 1.22; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2518989; CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O; dialifor; -5.74; 1.93; -16.52; 0.07; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Renamed mobley_2518989 from 2-(2-chloro-1-diethoxyphosphinothioylsulfanylethyl)isoindole-1,3-dione to 2-[(1S)-2-chloro-1-diethoxyphosphinothioylsulfanyl-ethyl]isoindoline-1,3-dione (the name from the 3D structure) since the former did not completely specify stereochemistry.  
mobley_2523689; c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl; 5-Amino-4-chloro-2-phenylpyridazin-3(2H)-one; -16.43; 1.93; -16.04; 0.04; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from pyrazon to 5-Amino-4-chloro-2-phenylpyridazin-3(2H)-one for better handling/standardization.  
mobley_252413; CCCC(C)(C)C; 2,2-dimethylpentane; 2.88; 0.60; 2.69; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2577969; c1cc2ccc3cccc4c3c2c(c1)cc4; pyrene; -4.52; 0.60; -6.79; 0.04; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2607611; CCCCCCOC(=O)C; hexyl acetate; -2.26; 0.60; -2.22; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2609604; CCC(C)(C)CC; 3,3-dimethylpentane; 2.56; 0.60; 2.59; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2613240; COc1ccccc1OC; 1,2-dimethoxybenzene; -5.33; 0.10; -4.05; 0.03; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2636578; C(CO[N+](=O)[O-])CO[N+](=O)[O-]; 3-nitrooxypropyl nitrate; -4.80; 0.39; -5.32; 0.03; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  IUPAC name and SMILES standardized in v0.2 to match PubChem.  
mobley_2659552; Cc1ccc(cc1)C(=O)N(C)C; N,N-4-trimethylbenzamide; -9.76; 0.20; -8.08; 0.04; 10.1021/jm070549+; 10.1021/acs.jced.7b00104; Topology and coordinate files re-generated 10/9/13 from original .mol2 files.  Experimental uncertainty not presently available, so assigned a default value.  Experimental uncertainty estimate updated to 0.2 as of v0.2 to match uncertainty estimate given in Nicholls et al. paper.  
mobley_2661134; c1cc(cc(c1)O)C#N; 3-hydroxybenzonitrile; -9.65; 0.60; -7.74; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2681549; c1c(cc(cc1Cl)Cl)Cl; 1,3,5-trichlorobenzene; -0.78; 0.60; 0.33; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2689721; C1CCCCC1; cyclohexane; 1.23; 0.60; 1.50; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2693089; CC(C)Cc1cnccn1; 2-isobutylpyrazine; -5.04; 0.60; -5.50; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2725215; CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-]; nitralin; -7.98; 1.93; -11.25; 0.05; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2725802; CC(=O)N1CCCC1; 1-pyrrolidin-1-ylethanone; -9.80; 0.60; -7.83; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2727678; c1c(c(=O)[nH]c(=O)[nH]1)I; 5-iodouracil; -18.72; 0.64; -17.74; 0.03; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2751110; c1cc(ccc1[N+](=O)[O-])O; 4-nitrophenol; -10.64; 0.60; -8.47; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2763835; CCOc1ccccc1; ethoxybenzene; -2.22; 0.60; -2.25; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2771569; CN1CCNCC1; 1-methylpiperazine; -7.77; 0.60; -8.17; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2782339; c1ccc2c(c1)C(=O)NC2=O; phthalimide; -9.61; 0.50; -11.82; 0.03; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2784376; C1CC1; cyclopropane; 0.75; 0.60; 2.48; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2789243; c1cc(cnc1)Cl; 3-chloropyridine; -4.01; 0.60; -2.77; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2792521; CCC/C=C/C=O; (2E)-hex-2-enal; -3.68; 0.60; -3.12; 0.03; 10.1021/jf60178a004 and 10.1016/S1387-3806(02)00927-2; 10.1021/acs.jced.7b00104; Renamed mobley_2792521 from hex-2-enal to (E)-hex-2-enal (the name from the 3D structure) since the former did not completely specify stereochemistry.  Experimental value provided by J. Peter Guthrie, University of Western Ontario, 10/23/2013, as a weighted average of the Buttery et al. and Karl et al. values noted in the experimental reference field.  
mobley_2802855; CCCCBr; 1-bromobutane; -0.40; 0.60; 0.70; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_282648; c1ccc2ccccc2c1; naphthalene; -2.40; 0.60; -3.21; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2837389; c1cc[nH]c1; pyrrole; -4.78; 0.60; -4.01; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2844990; c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl; 1,2,3,7-tetrachlorodibenzo-p-dioxin; -3.84; 1.00; -2.66; 0.04; 10.1007/s10822-012-9568-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2845466; c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl; 2,3,7,8-tetrachlorodibenzo-p-dioxin; -3.37; 1.00; -2.54; 0.04; 10.1007/s10822-012-9568-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2850833; c1ccc(c(c1)C=O)O; 2-hydroxybenzaldehyde; -4.68; 0.10; -8.81; 0.03; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2859600; C=Cc1ccccc1; styrene; -1.24; 0.60; -1.08; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2864987; CCC[C@@H](C)O; pentan-2-ol; -4.39; 0.60; -2.94; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Renamed mobley_2864987 from pentan-2-ol to (2R)-pentan-2-ol (the name from the 3D structure) since the former did not completely specify stereochemistry.  
mobley_2881590; CC(C)CO[N+](=O)[O-]; isobutyl nitrate; -1.88; 0.10; -1.83; 0.03; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2913224; CC(=O)Oc1ccccc1C(=O)O; acetylsalicylic acid; -9.94; 0.18; -9.40; 0.04; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2923700; CCc1ccc(cc1)O; 4-ethylphenol; -6.13; 0.60; -5.45; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2925352; Cc1ccc(cc1)O; p-cresol; -6.13; 0.60; -5.58; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2929847; CC(C)CC(=O)O; 3-methylbutanoic acid; -6.09; 0.60; -8.84; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2958326; CCCNCCC; N-propylpropan-1-amine; -3.65; 0.60; -2.23; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2960202; c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2; 1,2,3,4,7,8-hexachlorodibenzo-p-dioxin; -3.71; 1.00; -1.88; 0.04; 10.1007/s10822-012-9568-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_296847; c1ccncc1; pyridine; -4.69; 0.60; -3.51; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2972345; c1ccc2c(c1)Cc3ccccc3C2; 9,10-dihydroanthracene; -3.78; 0.10; -4.30; 0.04; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2972906; c1ccsc1; thiophene; -1.40; 0.20; -0.36; 0.02; 10.1039/P29900000291; 10.1021/acs.jced.7b00104; Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  
mobley_299266; CC(=C)C; 2-methylprop-1-ene; 1.16; 0.60; 2.33; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2996632; C(Cl)(Cl)Cl; chloroform; -1.08; 0.60; 0.28; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3006808; C(C(F)(F)F)O; 2,2,2-trifluoroethanol; -4.31; 0.60; -3.81; 0.02; 10.1039/F19736901577; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_303222; CC=C; prop-1-ene; 1.32; 0.60; 2.33; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3034976; CC(=O)O; acetic acid; -6.69; 0.60; -7.28; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3040612; CCc1ccccc1C; 1-ethyl-2-methylbenzene; -0.85; 0.10; -0.76; 0.03; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3047364; CCNc1nc(nc(n1)SC)NC(C)C; 2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine; -7.65; 0.45; -10.55; 0.04; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from ametryn to 2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine for better handling/standardization.  
mobley_3053621; c1ccccc1; benzene; -0.90; 0.20; -0.81; 0.02; 10.1039/P29900000291; 10.1021/acs.jced.7b00104; Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  
mobley_3060426; CC(C)CCC(C)(C)C; 2,2,5-trimethylhexane; 2.93; 0.60; 2.97; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3083321; COCOC; dimethoxymethane; -2.93; 0.20; -3.22; 0.04; 10.1021/jm070549+; 10.1021/acs.jced.7b00104; Topology and coordinate files re-generated 10/9/13 from original .mol2 files.  Experimental uncertainty not presently available, so assigned a default value.  Experimental uncertainty estimate updated to 0.2 as of v0.2 to match uncertainty estimate given in Nicholls et al. paper.  
mobley_3105103; Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl; terbacil; -11.14; 1.93; -13.77; 0.04; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_313406; CCCO; propan-1-ol; -4.85; 0.60; -3.33; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3144334; Cc1ccc(c(c1)O)C; 2,5-dimethylphenol; -5.91; 0.60; -5.01; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3151666; CCCCCCCCCCO; decan-1-ol; -3.64; 0.60; -2.45; 0.04; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3167746; CCCCCCCC; octane; 2.88; 0.60; 3.09; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3169935; c1ccc(c(c1)N)Cl; 2-chloroaniline; -4.91; 0.60; -4.85; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3183805; Cc1ccc(c(c1)C)C; 1,2,4-trimethylbenzene; -0.86; 0.60; -0.80; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3187514; Cc1ccccc1N; 2-methylaniline; -5.53; 0.60; -5.33; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3201701; Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C; pirimor; -9.41; 1.93; -13.87; 0.04; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from pirimor to 2-(dimethylamino)-5,6-dimethylpyrimidin-4-yl N,N-dimethylcarbamate for better handling/standardization.  
mobley_3210206; C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-]; 1,2-dinitroxypropane; -4.95; 0.10; -5.65; 0.04; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3211679; C1CCC=CC1; cyclohexene; 0.14; 0.10; 1.18; 0.02; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3234716; Cc1ccc(cc1)C; p-xylene; -0.80; 0.60; -0.66; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3259411; C(C(CO)O)O; glycerol; -13.43; 1.00; -10.14; 0.04; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3264884; c1ccc2cc(ccc2c1)N; naphthalen-2-amine; -7.47; 0.60; -8.00; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3265457; COc1cc(c(c(c1O)OC)Cl)C=O; 2-chlorosyringaldehyde; -7.78; 0.77; -8.29; 0.06; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3266352; CN(CC(F)(F)F)c1ccccc1; N-methyl-N-(2,2,2-trifluoroethyl)aniline; -1.92; 0.60; -3.96; 0.03; 10.1139/v93-262; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3269565; CC(C)OC; 2-methoxypropane; -2.01; 0.60; -0.66; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3269819; c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl; 1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene; -3.17; 0.10; -0.82; 0.04; 10.1007/s10822-012-9568-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3274817; CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]; 2-[(1R)-1-methylpropyl]-4,6-dinitro-phenolate; -6.23; 1.93; -5.38; 0.04; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from dinoseb to 2-[(1R)-1-methylpropyl]-4,6-dinitro-phenolate for better handling/standardization.  
mobley_3318135; CCCCC(=O)CCCC; nonan-5-one; -2.64; 0.60; -2.36; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3323117; C1CC[S+2](C1)([O-])[O-]; sulfolane; -8.61; 0.31; -9.62; 0.03; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3325209; COC(c1ccccc1)(OC)OC; trimethoxymethylbenzene; -4.04; 0.60; -5.56; 0.04; 10.1139/v80-201; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3359593; CCCc1ccc(c(c1)OC)O; 4-propylguaiacol; -5.26; 0.18; -4.13; 0.05; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3370989; CC(F)F; 1,1-difluoroethane; -0.11; 0.60; 0.23; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_337666; c1c(c(=O)[nH]c(=O)[nH]1)F; 5-fluorouracil; -16.92; 0.88; -16.37; 0.03; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from 5-flurouracil to 5-fluorouracil for better handling/standardization.  
mobley_3378420; CCCCCCCCCO; nonan-1-ol; -3.88; 0.60; -2.56; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3395921; C1CCOCC1; tetrahydropyran; -3.12; 0.60; -1.81; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3398536; c1ccc(cc1)I; iodobenzene; -1.74; 0.60; -1.06; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3414356; CCCC(C)(C)O; 2-methylpentan-2-ol; -3.92; 0.60; -2.78; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3425174; C(F)Cl; chloro-fluoro-methane; -0.77; 0.60; -0.17; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3452749; Cc1cccc(c1C)C; 1,2,3-trimethylbenzene; -1.21; 0.60; -0.88; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_349850; Cc1ccc(cc1)C(=O)C; 1-(p-tolyl)ethanone; -4.70; 0.60; -4.91; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3515580; COc1ccccc1O; 2-methoxyphenol; -5.94; 0.10; -4.75; 0.04; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_352111; CC(=O)OCCOC(=O)C; 2-acetoxyethyl acetate; -6.34; 0.60; -8.29; 0.04; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3525176; CCCCCc1ccccc1; pentylbenzene; -0.23; 0.60; -0.09; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3546460; CCCCCCO; hexan-1-ol; -4.40; 0.60; -3.00; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3572203; CCCCCOC(=O)CC; pentyl propanoate; -2.11; 0.60; -2.18; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3573480; CCCCCC(=O)C; heptan-2-one; -3.04; 0.60; -2.94; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3589456; COC(CCl)(OC)OC; 2-chloro-1,1,1-trimethoxy-ethane; -4.59; 0.60; -3.64; 0.03; 10.1139/v80-201; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_36119; CCCCCCCCO; octan-1-ol; -4.09; 0.60; -2.69; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3639400; CCCCCl; 1-chlorobutane; -0.16; 0.60; 0.99; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3663158; c1ccc2cc(ccc2c1)O; naphthalen-2-ol; -8.11; 0.60; -7.85; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3682850; C1CCC(=O)CC1; cyclohexanone; -4.91; 0.60; -4.18; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
